FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
0;event;id_001;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.316456;-76.721468;706061.0008;858878.9219;222
1;event;id_002;Flujo;10/9/1991 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.282921;-76.701161;708310.4007;855160.7865;222
2;event;id_003;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.23053;-76.629175;716304.2689;849341.0235;222
3;event;id_004;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.163096;-76.72712;705387.7991;841904.2339;222
4;event;id_005;Flujo;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.334519;-76.720414;706183.6152;860878.1061;222
5;event;id_006;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206722;-76.689567;709578.5005;846722.7226;222
6;event;id_007;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320308;-76.72109;706104.194;859305.2098;222
7;event;id_008;Reptación;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.204752;-76.680048;710637.0453;846501.9616;222
8;event;id_009;Deslizamiento;25/12/2019 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.193343;-76.600281;719508.6484;845216.9501;222
9;event;id_010;Reptación;29/8/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.177155;-76.73701;704291.3316;843463.338;222
10;event;id_011;Caida;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.333033;-76.713967;706900.4055;860711.6897;222
11;event;id_012;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.318675;-76.723858;705795.7635;859125.2671;222
12;event;id_013;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31445;-76.727036;705440.9499;858658.5217;222
13;event;id_014;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320228;-76.725916;705567.2657;859297.7912;222
14;event;id_015;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.235341;-76.73404;704638.5166;849903.4896;222
15;event;id_016;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.329801;-76.714787;706808.2227;860354.1669;222
16;event;id_017;Flujo;3/10/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.160809;-76.645897;714424.5672;841628.3651;222
17;event;id_018;Deslizamiento;24/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206833;-76.620161;717300.5701;846715.5645;222
18;event;id_019;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.306855;-76.719459;706281.6744;857815.5362;222
19;event;id_020;Reptación;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.216759;-76.75367;702448.9984;847852.2294;222
20;event;id_021;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.223848;-76.635534;715594.942;848603.1843;222
21;event;id_022;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.158753;-76.738959;704069.2343;841426.8477;222
22;event;id_023;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.267176;-76.698028;708654.4039;853417.0005;222
23;event;id_024;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.206281;-76.615125;717860.7024;846653.0751;222
24;event;id_025;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.324872;-76.714972;706786.1825;859808.6049;222
25;event;id_026;Caida;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.276839;-76.603919;719126.9119;854459.7351;222
26;event;id_027;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.169401;-76.706761;707654.8979;842596.3989;222
27;event;id_028;Deslizamiento;24/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.298636;-76.637421;715406.058;856881.8726;222
28;event;id_029;Flujo;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.202476;-76.628192;716405.87;846235.5223;222
29;event;id_030;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.235126;-76.745301;703385.5172;849882.9775;222
30;event;id_031;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.330546;-76.711701;707151.7621;860435.7166;222
31;event;id_032;Flujo;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.255689;-76.740277;703950.4993;852157.7795;222
32;event;id_033;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31845;-76.718853;706352.5157;859098.8721;222
33;event;id_034;Deslizamiento;27/8/2012 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.213929;-76.599418;719610.2705;847495.2758;222
34;event;id_035;Deslizamiento;1/3/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.163616;-76.649825;713988.295;841940.1517;222
35;event;id_036;Deslizamiento;28/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.281733;-76.69935;708511.5379;855028.7537;222
36;event;id_037;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.20812;-76.728104;705291.1314;846888.4992;222
37;event;id_038;Deslizamiento;1/1/2007 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.157827;-76.618564;717464.8821;841290.816;222
38;event;id_039;Flujo;1/4/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.283727;-76.690897;709452.5471;855247.0144;222
39;event;id_040;Deslizamiento;10/9/1991 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.282555;-76.694614;709038.677;855118.3637;222
40;event;id_041;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.235297;-76.594238;720192.4094;849858.9625;222
41;event;id_042;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319571;-76.724963;705673.0948;859224.7799;222
42;event;id_043;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.1604;-76.649314;714044.2685;841584.0342;222
43;event;id_044;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.276191;-76.709119;707423.0743;854418.1383;222
44;event;id_045;Flujo;22/10/2020 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.316456;-76.718394;706402.9913;858878.0088;222
45;event;id_046;Deslizamiento;28/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.183922;-76.650886;713875.8377;844188.1027;222
46;event;id_047;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.230431;-76.661388;712720.3669;849339.1226;222
47;event;id_048;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.298612;-76.743841;703566.6134;856910.3078;222
48;event;id_049;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.199962;-76.70256;708130.9487;845978.13;222
49;event;id_050;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.175252;-76.724871;705641.485;843249.2143;222
50;event;id_051;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.298128;-76.744633;703478.3545;856856.9662;222
51;event;id_052;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.318555;-76.718402;706402.7215;859110.3612;222
52;event;id_053;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.212295;-76.663984;712426.4477;847332.3729;222
53;event;id_054;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.295202;-76.690947;709450.3113;856517.232;222
54;event;id_055;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.305999;-76.71768;706479.3424;857720.2542;222
55;event;id_056;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.292269;-76.721489;706051.5378;856201.5286;222
56;event;id_057;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.324792;-76.715311;706748.4447;859799.8501;222
57;event;id_058;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.302128;-76.741597;703817.316;857298.8519;222
58;event;id_059;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.21929;-76.61556;717815.8834;848093.1143;222
59;event;id_060;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.187587;-76.640289;715055.8754;844590.8388;222
60;event;id_061;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31445;-76.727036;705440.9499;858658.5217;222
61;event;id_062;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.175016;-76.660843;712765.54;843205.0662;222
62;event;id_063;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.296876;-76.744635;703477.7606;856718.373;222
63;event;id_064;Deslizamiento;10/3/2000 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.164788;-76.640721;715001.5517;842067.3716;222
64;event;id_065;Deslizamiento;31/3/2017 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.21448;-76.627217;716517.6572;847563.9438;222
65;event;id_066;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.203986;-76.650059;713973.4101;846408.7438;222
66;event;id_067;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.277241;-76.619896;717349.623;854508.7282;222
67;event;id_068;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.187727;-76.664941;712313.1125;844613.1948;222
68;event;id_069;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.204575;-76.702278;708163.6328;846488.6807;222
69;event;id_070;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.200549;-76.662967;712536.3143;846031.9162;222
70;event;id_071;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.295744;-76.743864;703563.2042;856592.8334;222
71;event;id_072;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.250189;-76.624048;716880.138;851515.5914;222
72;event;id_073;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.323025;-76.728089;705326.3439;859608.0571;222
73;event;id_074;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.23272;-76.695846;708887.2763;849602.3143;222
74;event;id_075;Flujo;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.294577;-76.687438;709840.5141;856447.0255;222
75;event;id_076;Deslizamiento;1/3/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.161494;-76.654408;713477.7918;841706.5336;222
76;event;id_077;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.285306;-76.720528;706156.413;855430.4709;222
77;event;id_078;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.163277;-76.641846;714875.9682;841900.4306;222
78;event;id_079;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.318451;-76.718854;706352.4047;859098.9831;222
79;event;id_080;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.297464;-76.743003;703659.5062;856782.977;222
80;event;id_081;Flujo;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.289532;-76.696212;708862.9176;855891.138;222
81;event;id_082;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.273803;-76.72439;705723.3735;854158.2721;222
82;event;id_083;Flujo;10/9/1991 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.306039;-76.722466;705946.8936;857726.0993;222
83;event;id_084;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.324308;-76.715819;706691.7859;859746.4246;222
84;event;id_085;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.27785;-76.705158;707864.2409;854600.6235;222
85;event;id_086;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.261548;-76.621043;717217.6206;852772.0418;222
86;event;id_087;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319103;-76.7156;706714.6116;859170.1903;222
87;event;id_088;Deslizamiento;17/6/2007 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.256231;-76.589937;720676.6539;852174.8409;222
88;event;id_089;Deslizamiento;6/12/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.195202;-76.601101;719417.9241;845422.9377;222
89;event;id_090;Deslizamiento;31/3/2017 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.21448;-76.627217;716517.6572;847563.9438;222
90;event;id_091;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.229458;-76.683103;710304.1257;849237.5888;222
91;event;id_092;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.273529;-76.587319;720972.6803;854088.7286;222
92;event;id_093;Deslizamiento;1/1/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.25523;-76.594698;720146.7249;852065.3669;222
93;event;id_094;Deslizamiento;11/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.193264;-76.599132;719636.4597;845207.8923;222
94;event;id_095;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.21965;-76.63192;715995.8534;848137.5074;222
95;event;id_096;Deslizamiento;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.188674;-76.729876;705088.4053;844736.4084;222
96;event;id_097;Reptación;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.197502;-76.6962;708837.8903;845704.0154;222
97;event;id_098;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.280147;-76.700476;708385.8048;854853.5217;222
98;event;id_099;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.324309;-76.715819;706691.7861;859746.5352;222
99;event;id_100;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.250396;-76.624329;716848.9341;851538.5825;222
100;event;id_101;Caida;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.198073;-76.61956;717365.0301;845745.7828;222
101;event;id_102;Flujo;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.234523;-76.749958;702867.1845;849817.5902;222
102;event;id_103;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.274853;-76.706908;707668.6727;854269.3832;222
103;event;id_104;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.190621;-76.738404;704140.0697;844954.3848;222
104;event;id_105;Deslizamiento;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.20195;-76.748225;703050.5629;846211.3146;222
105;event;id_106;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.298261;-76.739987;703995.2923;856870.3048;222
106;event;id_107;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.204877;-76.63908;715195.1622;846504.3063;222
107;event;id_108;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.216497;-76.697906;708653.458;847807.1237;222
108;event;id_109;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.30195;-76.730303;705073.7846;857275.7872;222
109;event;id_110;Flujo;22/9/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.300682;-76.694401;709067.64;857124.8407;222
110;event;id_111;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.249298;-76.670525;711709.154;851430.1231;222
111;event;id_112;Deslizamiento;22/8/2019 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.203168;-76.718273;706383.5623;846337.5071;222
112;event;id_113;Reptación;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.189456;-76.672018;711526.1923;844806.5614;222
113;event;id_114;Deslizamiento;28/10/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.283153;-76.729863;705117.2006;855194.8937;222
114;event;id_115;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.302494;-76.741947;703778.4849;857339.4716;222
115;event;id_116;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.222402;-76.746624;703234.6166;848474.8442;222
116;event;id_117;Flujo;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.204092;-76.721857;705985.0522;846440.8183;222
117;event;id_118;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.254539;-76.741498;703814.3129;852030.8362;222
118;event;id_119;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.27675;-76.707664;707585.1143;854479.5915;222
119;event;id_120;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.316838;-76.720101;706213.1961;858920.8015;222
120;event;id_121;Deslizamiento;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.218789;-76.631317;716062.7018;848042.0372;222
121;event;id_122;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.298116;-76.74461;703480.9098;856855.631;222
122;event;id_123;Deslizamiento;18/8/2020 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.293601;-76.6743;711301.8557;856335.1711;222
123;event;id_124;Deslizamiento;25/11/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.203081;-76.683249;710280.4267;846317.9004;222
124;event;id_125;Flujo;24/12/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.293731;-76.688011;709776.5213;856353.5463;222
125;event;id_126;Caida;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31897;-76.724446;705730.4343;859158.0975;222
126;event;id_127;Deslizamiento;10/3/2000 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.165811;-76.642249;714831.823;842181.0263;222
127;event;id_128;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.317453;-76.715753;706697.103;858987.5884;222
128;event;id_129;Deslizamiento;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.339861;-76.717986;706455.3189;861468.7169;222
129;event;id_130;Flujo;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.245428;-76.717649;706465.1244;851015.3128;222
130;event;id_131;Deslizamiento;24/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.239161;-76.592311;720407.8499;850286.1156;222
131;event;id_132;Deslizamiento;1/1/1998 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.305341;-76.713707;706921.1588;857646.2423;222
132;event;id_133;Deslizamiento;29/9/2014 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.167143;-76.638629;715234.9561;842327.4675;222
133;event;id_134;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.196461;-76.637128;715410.012;845572.2112;222
134;event;id_135;Reptación;27/1/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.221834;-76.655548;713367.6947;848385.8713;222
135;event;id_136;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.308472;-76.734284;704632.8087;857998.9357;222
136;event;id_137;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.321555;-76.722441;705954.2615;859443.6497;222
137;event;id_138;Reptación;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.228133;-76.704625;707909.2108;849097.0833;222
138;event;id_139;Deslizamiento;31/3/2017 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.21448;-76.627217;716517.6572;847563.9438;222
139;event;id_140;Deslizamiento;30/12/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.161117;-76.6411;714958.3795;841661.1383;222
140;event;id_141;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.333235;-76.713881;706910.0329;860734.0245;222
141;event;id_142;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.30849;-76.725052;705659.9143;857998.1824;222
142;event;id_143;Reptación;29/8/2015 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.210496;-76.749652;702894.2532;847157.755;222
143;event;id_144;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.274347;-76.709866;707339.4298;854214.2356;222
144;event;id_145;Deslizamiento;30/1/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.224334;-76.63572;715574.3837;848657.0308;222
145;event;id_146;Deslizamiento;1/1/2018 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.277192;-76.585049;721226.2225;854493.5319;222
146;event;id_147;Reptación;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.199677;-76.703967;707974.3195;845946.9829;222
147;event;id_148;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319892;-76.719307;706302.4335;859258.6301;222
148;event;id_149;Caida;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.326373;-76.719696;706261.0756;859976.1645;222
149;event;id_150;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.297817;-76.744761;703464.0213;856822.5773;222
150;event;id_151;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.317222;-76.720303;706190.8366;858963.3687;222
151;event;id_152;Deslizamiento;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320989;-76.738346;704184.6144;859385.7454;222
152;event;id_153;Deslizamiento;1/1/2015 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.194847;-76.601217;719404.9219;845383.6762;222
153;event;id_154;Deslizamiento;17/6/2017 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.248858;-76.587226;720976.2173;851358.0162;222
154;event;id_155;Flujo;1/1/1998 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.304833;-76.713749;706916.3368;857590.0216;222
155;event;id_156;Flujo;22/8/2019 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.229904;-76.745722;703337.156;849305.0365;222
156;event;id_157;Reptación;25/12/2019 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.234711;-76.590605;720596.4216;849793.0997;222
157;event;id_158;Deslizamiento;1/12/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.156374;-76.648599;714122.7193;841138.2027;222
158;event;id_159;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.236192;-76.690764;709453.6868;849985.1836;222
159;event;id_160;Reptación;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.17056;-76.697225;708716.2659;842722.0035;222
160;event;id_161;Deslizamiento;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.171945;-76.684161;710170.2311;842871.643;222
161;event;id_162;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319211;-76.71573;706700.1808;859182.184;222
162;event;id_163;Caida;20/9/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.196357;-76.620356;717275.9992;845556.0637;222
163;event;id_164;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.319572;-76.724961;705673.3176;859224.89;222
164;event;id_165;Deslizamiento;1/4/2016 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.283674;-76.645881;714460.6377;855228.1669;222
165;event;id_166;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.296212;-76.746079;703316.9084;856645.3001;222
166;event;id_167;Deslizamiento;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.170283;-76.734453;704573.8928;842701.8978;222
167;event;id_168;Deslizamiento;10/3/2000 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.1631;-76.642706;714780.234;841881.0752;222
168;event;id_169;Deslizamiento;1/4/2020 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.199172;-76.677328;710938.1093;845883.5331;222
169;event;id_170;Deslizamiento;1/1/1998 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.178386;-76.672841;711431.5384;843581.4396;222
170;event;id_171;Flujo;20/9/2016 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.295937;-76.745733;703355.3218;856614.755;222
