FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
734;noevent;id_735;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.311125723;-76.51418376;729118.6124;858229.7928;111
735;noevent;id_736;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.338352677;-76.5170878;728803.0256;861244.0207;111
736;noevent;id_737;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.340470419;-76.50293803;730377.512;861474.5129;111
737;noevent;id_738;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.298958846;-76.52567956;727836.5463;856886.3255;111
738;noevent;id_739;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.328564491;-76.54340241;725873.24;860167.9605;111
739;noevent;id_740;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.31718317;-76.52013612;728458.1506;858901.8516;111
740;noevent;id_741;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.325298976;-76.52253238;728193.8233;859800.7572;111
741;noevent;id_742;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.304239788;-76.53348551;726969.6711;857472.958;111
742;noevent;id_743;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.320987685;-76.54194766;726032.9667;859328.9523;111
743;noevent;id_744;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.317808933;-76.50135166;730547.8004;858965.9715;111
744;noevent;id_745;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.308642026;-76.54045132;726196.0169;857962.117;111
745;noevent;id_746;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.340903231;-76.53516207;726793.2683;861531.3221;111
746;noevent;id_747;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.344489362;-76.50059404;730639.3339;861918.6743;111
747;noevent;id_748;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.303282426;-76.51187278;729373.5458;857361.0819;111
